file	function	has_chart_method	method_values_seen	branch_evidence_lines	calls_custom	calls_mixed	calls_divisional_fn_map
src/jhora/horoscope/dhasa/graha/panchottari.py	get_dhasa_bhukthi	yes		110,117,143	no	no	no
src/jhora/horoscope/dhasa/graha/saptharishi_nakshathra.py	_dhasa_progression	yes		50,57,69,72,75,78	no	no	no
src/jhora/horoscope/dhasa/graha/saptharishi_nakshathra.py	get_dhasa_bhukthi	yes		87,97,127	no	no	no
src/jhora/horoscope/dhasa/graha/sataatbika.py	_dhasa_start	yes		71,78,90,93,96,99	no	no	no
src/jhora/horoscope/dhasa/graha/sataatbika.py	get_dhasa_bhukthi	yes		113,120,146	no	no	no
src/jhora/horoscope/dhasa/graha/shastihayani.py	_dhasa_start	yes		66,73,85,88,91,94	no	no	no
src/jhora/horoscope/dhasa/graha/shastihayani.py	get_dhasa_bhukthi	yes		109,118,144	no	no	no
src/jhora/horoscope/dhasa/graha/shattrimsa_sama.py	_dhasa_start	yes		73,80,92,95,98,101	no	no	no
src/jhora/horoscope/dhasa/graha/shattrimsa_sama.py	get_dhasa_bhukthi	yes		115,130,150	no	no	no
src/jhora/horoscope/dhasa/graha/shodasottari.py	_dhasa_start	yes		58,64,76,79,82,85	no	no	no
src/jhora/horoscope/dhasa/graha/shodasottari.py	get_dhasa_bhukthi	yes		99,107,133	no	no	no
src/jhora/horoscope/dhasa/graha/tara.py	_dhasa_start	yes		51,54	no	no	no
src/jhora/horoscope/dhasa/graha/tara.py	get_dhasa_bhukthi	yes		62,71,85,108	no	no	no
src/jhora/horoscope/dhasa/graha/vimsottari.py	get_vimsottari_dhasa_bhukthi	yes		163,179,204	no	no	no
src/jhora/horoscope/dhasa/graha/vimsottari.py	vimsottari_dasha_start_date	yes		39,46,58,61,64,67	no	no	no
src/jhora/horoscope/dhasa/graha/vimsottari.py	vimsottari_mahadasa	yes		82,86	no	no	no
src/jhora/horoscope/main.py	_get_arudha_padhas	yes		1023,1029	no	no	no
src/jhora/horoscope/main.py	_get_arudha_padhas_mixed_chart	yes		985,989	no	yes	no
src/jhora/horoscope/main.py	_get_sphuta	yes		974,980	no	no	no
src/jhora/horoscope/main.py	_get_sphuta_mixed_chart	yes		964,969	no	yes	no
src/jhora/horoscope/main.py	get_ava_saha_yoga_for_mixed_chart	yes		1657,1658,1662,1674	no	yes	no
src/jhora/horoscope/main.py	get_ava_saha_yoga_info_for_chart	yes		1628,1633,1645	no	no	no
src/jhora/horoscope/main.py	get_chara_karakas_for_chart	yes		1554,1558	no	no	no
src/jhora/horoscope/main.py	get_chara_karakas_for_mixed_chart	yes		1565,1566,1568,1569	no	yes	no
src/jhora/horoscope/main.py	get_horoscope_information_for_chart	yes		254,307,322,334,340,346,352,358,364,370,376,383,389,434,442	no	no	no
src/jhora/horoscope/main.py	get_horoscope_information_for_mixed_chart	yes		473,474,518,519,525,526,535,539,543,547,551,555,559,563,568,573,574,605,606,614,615,622	no	yes	no
src/jhora/horoscope/main.py	get_special_lagnas_for_chart	yes		1576,1584,1586	no	no	no
src/jhora/horoscope/main.py	get_special_lagnas_for_mixed_chart	yes		1590,1591,1598,1600	no	yes	no
src/jhora/horoscope/main.py	get_special_planets_for_chart	yes		446,454	no	no	no
src/jhora/horoscope/main.py	get_special_planets_for_mixed_chart	yes		459,460,467,468	no	yes	no
src/jhora/horoscope/main.py	get_sphutas_for_chart	yes		1604,1612	no	no	no
src/jhora/horoscope/main.py	get_sphutas_for_mixed_chart	yes		1616,1617,1624	no	yes	no
src/jhora/horoscope/main.py	get_varnada_lagna_for_chart	yes		881,886	no	no	no
src/jhora/horoscope/main.py	get_varnada_lagna_for_mixed_chart	yes		891,892,897,898	no	yes	no
src/jhora/panchanga/drik.py	bhrigu_bindhu_lagna	yes		1938,1953	no	no	no
src/jhora/panchanga/drik.py	bhrigu_bindhu_lagna_mixed_chart	yes		1928,1932	no	yes	no
src/jhora/panchanga/drik.py	indu_lagna	yes		1875,1891	no	no	no
src/jhora/panchanga/drik.py	indu_lagna_mixed_chart	yes		1863,1866	no	yes	no
src/jhora/panchanga/drik.py	kunda_lagna	yes		1908,1923	no	no	no
src/jhora/panchanga/drik.py	kunda_lagna_mixed_chart	yes		1901,1904	no	yes	no
src/jhora/panchanga/drik.py	pranapada_lagna	yes		1830,1848	no	no	no
src/jhora/panchanga/drik.py	pranapada_lagna_mixed_chart	yes		1810,1816	no	yes	no
src/jhora/panchanga/drik.py	special_ascendant	yes		1736,1773	no	no	no
src/jhora/panchanga/drik.py	special_ascendant_mixed_chart	yes		1791,1805	no	yes	no
src/jhora/panchanga/drik.py	sree_lagna	yes		1969,1983	no	no	no
src/jhora/panchanga/drik.py	sree_lagna_mixed_chart	yes		1960,1964	no	yes	no
