file	function	option_name	values_seen	branch_evidence_lines	state_mutation	ayanamsa_touchpoint	anchor_id
src/jhora/horoscope/chart/charts.py	rasi_chart	divisional_chart_factor	parameter_only	L100,L104	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	solar_upagraha_longitudes	divisional_chart_factor	parameter_only	L1843,L1857	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	special_lagna_longitudes	divisional_chart_factor	1	L1834,L1841	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	special_planet_longitudes	divisional_chart_factor	1	L1807,L1824,L1825,L1828,L1829	local_recompute	none	DS900
src/jhora/horoscope/chart/charts.py	varnada_lagna	divisional_chart_factor	parameter_only	L1528,L1551,L1555,L1559,L1563	none	none	DS900
src/jhora/horoscope/chart/charts.py	varnada_lagna_mixed_chart	divisional_chart_factor	parameter_only	L1491	none	none	DS900
src/jhora/horoscope/chart/charts.py	vimsamsavarga_of_planets	divisional_chart_factor	parameter_only	L1367	local_recompute	none	DS900
src/jhora/horoscope/chart/house.py	chara_karakas	divisional_chart_factor	parameter_only	L187	local_recompute	none	DS900
src/jhora/horoscope/chart/house.py	longevity	divisional_chart_factor	parameter_only	L1098,L1100,L1124	local_recompute	none	DS900
src/jhora/horoscope/chart/house.py	maheshwara	divisional_chart_factor	parameter_only	L1089,L1095	local_recompute	none	DS900
src/jhora/horoscope/chart/house.py	maheshwara_from_planet_positions	divisional_chart_factor	parameter_only	L1060	local_recompute	none	DS900
src/jhora/horoscope/chart/house.py	rudra_based_on_planet_positions	divisional_chart_factor	parameter_only	L994,L996	local_recompute	none	DS900
src/jhora/horoscope/dhasa/annual/mudda.py	mudda_dhasa_bhukthi	divisional_chart_factor	parameter_only	L148,L149	none	none	DS900
src/jhora/horoscope/dhasa/annual/mudda.py	mudda_dhasa_bhukthi	include_antardhasa	parameter_only	L148	none	none	DS900
src/jhora/horoscope/dhasa/annual/mudda.py	varsha_vimsottari_dasha_start_date	divisional_chart_factor	parameter_only	L43,L47	local_recompute	none	DS900
src/jhora/horoscope/dhasa/annual/mudda.py	varsha_vimsottari_dasha_start_date	star_position_from_moon	parameter_only	L43	local_recompute	none	DS900
src/jhora/horoscope/dhasa/annual/mudda.py	varsha_vimsottari_dhasa_bhukthi	divisional_chart_factor	parameter_only	L122,L132	local_recompute	none	DS900
